class;cap-diameter;cap-shape;cap-surface;cap-color;does-bruise-or-bleed;gill-attachment;gill-spacing;gill-color;stem-height;stem-width;stem-root;stem-surface;stem-color;veil-type;veil-color;has-ring;ring-type;spore-print-color;habitat;season
p;13.78;f;h;o;f;e;;w;17.18;17.cze;s;y;w;u;w;t;g;;d;w
p;16.77;f;h;e;f;e;;w;18.81;19.23;s;y;w;u;w;t;g;;d;u
p;17.32;f;g;o;f;e;;w;17.67;17.83;s;y;w;u;w;t;g;;d;u
p;18.65;x;h;e;f;e;;w;18.cze;19.mar;s;y;w;u;w;t;p;;d;u
p;14.lis;f;h;e;f;e;;w;16.87;16.23;s;y;w;u;w;t;g;;d;u
p;16.25;f;g;o;f;e;;w;17.32;17.cze;s;y;w;u;w;t;p;;d;u
p;13.59;x;g;o;f;e;;w;18.58;18.87;s;y;w;u;w;t;p;;d;w
p;17.mar;f;g;o;f;e;;w;17.39;18.35;s;y;w;u;w;t;g;;d;u
p;gru.13;f;g;e;f;e;;w;16.66;16.62;s;y;w;u;w;t;p;;d;a
p;gru.29;x;h;e;f;e;;w;16.45;15.65;s;y;w;u;w;t;p;;d;a
p;14.74;x;h;o;f;e;;w;16.sie;17.46;s;y;w;u;w;t;p;;d;w
p;15.13;f;h;e;f;e;;w;17.81;17.24;s;y;w;u;w;t;p;;d;u
p;13.66;f;g;o;f;e;;w;16.21;16.65;s;y;w;u;w;t;g;;d;u
p;13.mar;x;g;e;f;e;;w;17.75;17.19;s;y;w;u;w;t;p;;d;w
p;14.16;f;g;o;f;e;;w;15.26;16.19;s;y;w;u;w;t;g;;d;w
p;16.66;x;h;o;f;e;;w;18.73;18.47;s;y;w;u;w;t;p;;d;a
p;15.55;f;g;e;f;e;;w;17.mar;17.84;s;y;w;u;w;t;p;;d;a
p;14.28;f;g;e;f;e;;w;17.55;17.58;s;y;w;u;w;t;p;;d;a
p;16.92;x;g;e;f;e;;w;18.mar;18.81;s;y;w;u;w;t;g;;d;w
p;15.55;x;h;e;f;e;;w;16.75;16.97;s;y;w;u;w;t;p;;d;w
p;15.sie;x;h;o;f;e;;w;17.51;16.82;s;y;w;u;w;t;p;;d;u
p;12.lut;f;g;o;f;e;;w;16.16;16.61;s;y;w;u;w;t;p;;d;a
p;13.69;f;g;e;f;e;;w;16.58;15.84;s;y;w;u;w;t;p;;d;u
p;15.36;f;g;o;f;e;;w;17.53;15.97;s;y;w;u;w;t;p;;d;a
p;15.22;f;g;o;f;e;;w;16.87;17.46;s;y;w;u;w;t;p;;d;u
p;15.49;f;h;e;f;e;;w;17.45;16.64;s;y;w;u;w;t;p;;d;a
p;gru.16;x;h;e;f;e;;w;17.46;17.51;s;y;w;u;w;t;g;;d;u
p;16.kwi;f;h;o;f;e;;w;17.39;17.19;s;y;w;u;w;t;p;;d;u
p;16.31;f;h;e;f;e;;w;17.15;17.maj;s;y;w;u;w;t;g;;d;u
p;15.35;f;g;o;f;e;;w;17.89;18.21;s;y;w;u;w;t;g;;d;u
p;lis.17;x;h;o;f;e;;w;16.44;16.gru;s;y;w;u;w;t;g;;d;a
p;13.74;x;g;e;f;e;;w;16.lip;15.79;s;y;w;u;w;t;g;;d;u
p;14.62;f;h;e;f;e;;w;16.lip;17.lut;s;y;w;u;w;t;p;;d;a
p;13.14;f;h;o;f;e;;w;16.99;18.maj;s;y;w;u;w;t;p;;d;w
p;15.53;x;g;o;f;e;;w;18.cze;17.37;s;y;w;u;w;t;p;;d;w
p;17.sie;x;h;o;f;e;;w;17.79;18.79;s;y;w;u;w;t;g;;d;a
p;17.wrz;x;g;o;f;e;;w;19.19;18.89;s;y;w;u;w;t;p;;d;u
p;15.31;x;g;o;f;e;;w;16.19;17.kwi;s;y;w;u;w;t;p;;d;w
p;16.lis;f;h;e;f;e;;w;17.91;17.88;s;y;w;u;w;t;p;;d;u
p;14.96;x;g;o;f;e;;w;17.92;17.51;s;y;w;u;w;t;g;;d;a
p;16.gru;x;g;e;f;e;;w;17.98;16.93;s;y;w;u;w;t;p;;d;u
p;14.19;f;g;o;f;e;;w;17.83;18.mar;s;y;w;u;w;t;p;;d;w
p;15.67;x;g;o;f;e;;w;19.25;19.52;s;y;w;u;w;t;p;;d;w
p;lis.35;x;h;e;f;e;;w;16.96;15.39;s;y;w;u;w;t;p;;d;a
p;14.52;x;g;o;f;e;;w;17.kwi;17.57;s;y;w;u;w;t;p;;d;u
p;14.41;f;h;o;f;e;;w;17.sty;16.96;s;y;w;u;w;t;g;;d;a
p;16.mar;f;h;e;f;e;;w;18.25;16.66;s;y;w;u;w;t;p;;d;w
p;13.36;x;g;o;f;e;;w;17.26;17.sie;s;y;w;u;w;t;p;;d;u
p;14.29;x;h;o;f;e;;w;17.87;18.0;s;y;w;u;w;t;g;;d;u
p;gru.29;x;g;o;f;e;;w;16.84;16.26;s;y;w;u;w;t;p;;d;u
p;13.66;f;h;o;f;e;;w;17.73;17.29;s;y;w;u;w;t;g;;d;w
p;14.51;f;h;e;f;e;;w;16.lip;15.98;s;y;w;u;w;t;p;;d;u
p;14.55;f;h;e;f;e;;w;16.94;17.wrz;s;y;w;u;w;t;p;;d;w
p;14.97;f;g;e;f;e;;w;18.45;17.51;s;y;w;u;w;t;g;;d;u
p;13.cze;x;h;o;f;e;;w;15.72;16.19;s;y;w;u;w;t;g;;d;w
p;gru.85;x;g;o;f;e;;w;17.35;16.64;s;y;w;u;w;t;g;;d;u
p;14.0;f;h;e;f;e;;w;16.57;16.kwi;s;y;w;u;w;t;p;;d;w
p;13.93;f;h;e;f;e;;w;16.65;16.86;s;y;w;u;w;t;p;;d;w
p;17.91;f;g;o;f;e;;w;17.63;18.15;s;y;w;u;w;t;p;;d;w
p;14.43;f;g;e;f;e;;w;17.41;18.24;s;y;w;u;w;t;g;;d;u
p;13.43;f;g;e;f;e;;w;16.13;16.25;s;y;w;u;w;t;p;;d;w
p;13.kwi;f;h;o;f;e;;w;17.99;17.49;s;y;w;u;w;t;g;;d;a
p;17.sty;x;g;e;f;e;;w;18.96;18.94;s;y;w;u;w;t;g;;d;w
p;15.lip;f;h;e;f;e;;w;18.33;18.88;s;y;w;u;w;t;g;;d;w
p;15.mar;f;h;e;f;e;;w;18.81;18.36;s;y;w;u;w;t;p;;d;w
p;16.37;f;h;e;f;e;;w;17.96;18.69;s;y;w;u;w;t;p;;d;a
p;11.lut;f;g;o;f;e;;w;15.98;16.lut;s;y;w;u;w;t;g;;d;u
p;17.61;f;g;e;f;e;;w;18.35;17.91;s;y;w;u;w;t;g;;d;u
p;17.54;f;h;o;f;e;;w;18.lut;17.76;s;y;w;u;w;t;g;;d;w
p;16.77;x;h;o;f;e;;w;18.lut;19.96;s;y;w;u;w;t;p;;d;a
p;16.21;f;h;o;f;e;;w;17.29;17.29;s;y;w;u;w;t;p;;d;a
p;14.94;x;g;e;f;e;;w;17.maj;18.26;s;y;w;u;w;t;g;;d;a
p;14.74;f;h;o;f;e;;w;18.42;18.maj;s;y;w;u;w;t;g;;d;w
p;15.97;x;h;o;f;e;;w;16.42;16.89;s;y;w;u;w;t;g;;d;u
p;13.56;x;g;e;f;e;;w;17.mar;17.96;s;y;w;u;w;t;g;;d;u
p;15.13;x;h;e;f;e;;w;18.75;18.33;s;y;w;u;w;t;p;;d;u
p;15.42;f;g;o;f;e;;w;18.34;18.24;s;y;w;u;w;t;g;;d;u
p;13.49;x;g;o;f;e;;w;17.cze;17.44;s;y;w;u;w;t;g;;d;a
p;15.71;f;h;e;f;e;;w;17.91;18.23;s;y;w;u;w;t;p;;d;a
p;14.96;f;g;e;f;e;;w;17.96;17.37;s;y;w;u;w;t;p;;d;u
p;15.34;f;h;o;f;e;;w;17.74;18.62;s;y;w;u;w;t;p;;d;w
p;gru.26;x;g;o;f;e;;w;18.14;17.58;s;y;w;u;w;t;p;;d;a
p;13.46;f;g;o;f;e;;w;16.92;15.mar;s;y;w;u;w;t;p;;d;w
p;16.59;f;g;o;f;e;;w;18.93;18.51;s;y;w;u;w;t;p;;d;u
p;14.98;x;g;e;f;e;;w;17.35;17.lip;s;y;w;u;w;t;p;;d;a
p;13.lip;f;h;e;f;e;;w;17.kwi;17.74;s;y;w;u;w;t;g;;d;u
p;14.92;x;g;e;f;e;;w;18.lip;17.lut;s;y;w;u;w;t;g;;d;u
p;12.0;f;g;e;f;e;;w;15.wrz;16.23;s;y;w;u;w;t;g;;d;u
p;14.75;f;h;e;f;e;;w;16.76;17.24;s;y;w;u;w;t;g;;d;w
p;16.cze;f;g;e;f;e;;w;18.46;18.38;s;y;w;u;w;t;p;;d;w
p;lis.77;x;g;o;f;e;;w;16.96;15.57;s;y;w;u;w;t;g;;d;u
p;16.37;f;h;o;f;e;;w;18.21;18.sie;s;y;w;u;w;t;g;;d;w
p;13.89;f;g;e;f;e;;w;17.83;17.66;s;y;w;u;w;t;g;;d;w
p;lis.71;f;h;e;f;e;;w;16.47;16.sty;s;y;w;u;w;t;g;;d;a
p;15.maj;f;h;o;f;e;;w;17.92;18.wrz;s;y;w;u;w;t;p;;d;u
p;15.93;x;h;e;f;e;;w;16.86;16.wrz;s;y;w;u;w;t;p;;d;u
p;17.73;f;h;e;f;e;;w;19.19;18.16;s;y;w;u;w;t;p;;d;a
p;17.23;f;h;e;f;e;;w;17.45;17.79;s;y;w;u;w;t;g;;d;a
p;16.76;f;g;o;f;e;;w;18.81;18.35;s;y;w;u;w;t;g;;d;u
p;14.14;x;g;o;f;e;;w;16.89;17.97;s;y;w;u;w;t;p;;d;w
p;gru.86;x;g;o;f;e;;w;16.kwi;16.98;s;y;w;u;w;t;g;;d;a
p;16.79;f;g;o;f;e;;w;18.81;18.wrz;s;y;w;u;w;t;g;;d;a
p;14.18;f;h;e;f;e;;w;17.87;18.lut;s;y;w;u;w;t;p;;d;a
p;13.56;x;h;e;f;e;;w;17.14;16.74;s;y;w;u;w;t;g;;d;w
p;14.32;x;g;e;f;e;;w;16.45;15.77;s;y;w;u;w;t;g;;d;a
p;13.64;x;h;e;f;e;;w;16.74;16.93;s;y;w;u;w;t;p;;d;w
p;13.49;x;h;o;f;e;;w;16.73;17.51;s;y;w;u;w;t;p;;d;w
p;14.lip;x;g;e;f;e;;w;16.84;16.67;s;y;w;u;w;t;p;;d;a
p;13.33;f;h;o;f;e;;w;19.25;18.76;s;y;w;u;w;t;p;;d;w
p;gru.87;f;h;e;f;e;;w;16.52;17.maj;s;y;w;u;w;t;g;;d;w
p;14.36;x;h;e;f;e;;w;17.87;17.87;s;y;w;u;w;t;p;;d;u
p;14.39;f;g;e;f;e;;w;17.55;17.24;s;y;w;u;w;t;g;;d;w
p;14.17;x;h;e;f;e;;w;17.47;17.lip;s;y;w;u;w;t;g;;d;w
p;16.kwi;f;g;o;f;e;;w;17.92;17.83;s;y;w;u;w;t;g;;d;u
p;gru.31;f;g;e;f;e;;w;17.lut;16.sty;s;y;w;u;w;t;p;;d;w
p;14.77;x;h;e;f;e;;w;16.61;17.cze;s;y;w;u;w;t;g;;d;w
p;15.lut;f;h;e;f;e;;w;16.89;17.26;s;y;w;u;w;t;p;;d;u
p;13.wrz;x;h;o;f;e;;w;18.sty;17.lip;s;y;w;u;w;t;g;;d;u
p;17.13;x;h;e;f;e;;w;16.46;16.83;s;y;w;u;w;t;g;;d;u
p;13.68;f;g;o;f;e;;w;18.22;17.47;s;y;w;u;w;t;g;;d;a
p;15.0;x;g;e;f;e;;w;18.gru;17.13;s;y;w;u;w;t;g;;d;w
p;13.maj;x;h;e;f;e;;w;15.51;15.17;s;y;w;u;w;t;p;;d;a
p;13.94;x;h;e;f;e;;w;17.65;17.49;s;y;w;u;w;t;p;;d;u
p;14.62;f;g;e;f;e;;w;17.41;17.65;s;y;w;u;w;t;g;;d;u
p;13.76;f;g;o;f;e;;w;17.89;17.87;s;y;w;u;w;t;p;;d;w
p;16.71;x;h;e;f;e;;w;17.87;17.29;s;y;w;u;w;t;g;;d;u
p;15.maj;x;g;e;f;e;;w;17.83;18.79;s;y;w;u;w;t;g;;d;u
p;14.77;x;h;e;f;e;;w;16.72;16.51;s;y;w;u;w;t;p;;d;a
p;18.14;x;g;o;f;e;;w;18.49;19.13;s;y;w;u;w;t;p;;d;u
p;15.78;x;h;o;f;e;;w;18.71;18.83;s;y;w;u;w;t;g;;d;w
p;17.25;x;g;o;f;e;;w;17.71;18.maj;s;y;w;u;w;t;p;;d;a
p;16.58;f;h;o;f;e;;w;18.74;18.32;s;y;w;u;w;t;g;;d;w
p;13.cze;x;g;e;f;e;;w;18.18;19.gru;s;y;w;u;w;t;p;;d;u
p;15.48;x;g;o;f;e;;w;16.79;16.48;s;y;w;u;w;t;g;;d;w
p;16.sty;f;g;o;f;e;;w;17.66;17.28;s;y;w;u;w;t;g;;d;w
p;15.57;x;g;e;f;e;;w;18.51;18.18;s;y;w;u;w;t;p;;d;w
p;15.lut;x;g;o;f;e;;w;16.27;16.81;s;y;w;u;w;t;g;;d;a
p;14.13;x;h;e;f;e;;w;17.28;16.55;s;y;w;u;w;t;g;;d;a
p;16.mar;f;g;o;f;e;;w;18.22;18.37;s;y;w;u;w;t;p;;d;w
p;13.82;x;h;o;f;e;;w;15.69;15.73;s;y;w;u;w;t;p;;d;a
p;15.89;x;g;o;f;e;;w;17.82;18.mar;s;y;w;u;w;t;g;;d;u
p;15.0;f;g;o;f;e;;w;18.14;18.lut;s;y;w;u;w;t;p;;d;u
p;17.22;f;h;e;f;e;;w;18.26;18.23;s;y;w;u;w;t;p;;d;w
p;16.76;x;h;o;f;e;;w;16.78;16.lip;s;y;w;u;w;t;p;;d;w
p;16.97;x;g;o;f;e;;w;17.37;16.59;s;y;w;u;w;t;g;;d;w
p;17.87;f;h;e;f;e;;w;19.mar;18.39;s;y;w;u;w;t;g;;d;u
p;gru.96;f;h;e;f;e;;w;16.0;16.cze;s;y;w;u;w;t;p;;d;a
p;15.59;x;h;o;f;e;;w;18.76;18.58;s;y;w;u;w;t;g;;d;w
p;14.37;x;g;e;f;e;;w;18.kwi;17.27;s;y;w;u;w;t;g;;d;w
p;14.sie;x;g;e;f;e;;w;18.13;17.66;s;y;w;u;w;t;g;;d;w
p;13.42;f;g;o;f;e;;w;17.86;17.84;s;y;w;u;w;t;g;;d;w
p;13.44;f;g;e;f;e;;w;16.74;16.54;s;y;w;u;w;t;p;;d;u
p;15.64;x;g;o;f;e;;w;18.maj;17.33;s;y;w;u;w;t;p;;d;w
p;15.16;x;g;o;f;e;;w;17.94;17.35;s;y;w;u;w;t;g;;d;a
p;14.24;f;h;o;f;e;;w;16.lip;17.lip;s;y;w;u;w;t;p;;d;a
p;13.27;x;g;e;f;e;;w;17.maj;17.83;s;y;w;u;w;t;p;;d;w
p;14.33;x;g;o;f;e;;w;17.27;17.45;s;y;w;u;w;t;g;;d;a
p;18.59;x;g;o;f;e;;w;18.mar;18.82;s;y;w;u;w;t;p;;d;u
p;16.92;x;g;e;f;e;;w;18.35;18.14;s;y;w;u;w;t;g;;d;a
p;14.63;f;h;o;f;e;;w;16.62;15.93;s;y;w;u;w;t;p;;d;w
p;14.71;f;g;e;f;e;;w;18.65;17.98;s;y;w;u;w;t;g;;d;w
p;14.84;x;g;e;f;e;;w;18.23;18.18;s;y;w;u;w;t;g;;d;u
p;14.sty;f;g;o;f;e;;w;16.49;17.92;s;y;w;u;w;t;g;;d;u
p;lis.69;f;g;e;f;e;;w;17.18;17.lis;s;y;w;u;w;t;p;;d;a
p;13.63;f;g;e;f;e;;w;17.kwi;16.96;s;y;w;u;w;t;p;;d;u
p;15.29;f;g;e;f;e;;w;17.75;16.37;s;y;w;u;w;t;g;;d;w
p;15.57;x;g;e;f;e;;w;18.24;18.41;s;y;w;u;w;t;p;;d;a
p;17.58;x;h;o;f;e;;w;16.86;17.49;s;y;w;u;w;t;g;;d;u
p;15.kwi;f;g;e;f;e;;w;16.93;17.25;s;y;w;u;w;t;g;;d;w
p;13.64;f;h;e;f;e;;w;16.64;17.59;s;y;w;u;w;t;p;;d;u
p;17.25;x;h;e;f;e;;w;17.sie;17.mar;s;y;w;u;w;t;g;;d;u
p;17.84;f;h;o;f;e;;w;18.83;18.54;s;y;w;u;w;t;g;;d;w
p;15.48;x;h;e;f;e;;w;17.41;17.kwi;s;y;w;u;w;t;p;;d;w
p;14.57;f;g;o;f;e;;w;18.sie;18.49;s;y;w;u;w;t;g;;d;u
p;14.45;x;g;e;f;e;;w;17.63;17.66;s;y;w;u;w;t;g;;d;a
p;15.79;f;h;e;f;e;;w;18.85;18.13;s;y;w;u;w;t;p;;d;w
p;17.38;x;g;o;f;e;;w;19.27;18.81;s;y;w;u;w;t;g;;d;a
p;14.91;f;g;o;f;e;;w;18.38;16.lip;s;y;w;u;w;t;p;;d;w
p;16.98;f;g;o;f;e;;w;17.16;16.65;s;y;w;u;w;t;p;;d;w
p;13.73;f;h;o;f;e;;w;16.38;16.97;s;y;w;u;w;t;p;;d;w
p;14.99;f;h;o;f;e;;w;17.19;16.21;s;y;w;u;w;t;g;;d;a
p;15.sty;x;g;o;f;e;;w;18.sty;17.33;s;y;w;u;w;t;g;;d;a
p;15.84;x;h;o;f;e;;w;18.54;18.47;s;y;w;u;w;t;g;;d;u
p;16.62;x;g;o;f;e;;w;18.54;18.sty;s;y;w;u;w;t;p;;d;a
p;lis.29;f;g;o;f;e;;w;16.cze;16.69;s;y;w;u;w;t;g;;d;a
p;13.95;f;h;o;f;e;;w;17.sie;15.wrz;s;y;w;u;w;t;g;;d;u
p;14.27;x;h;e;f;e;;w;17.35;16.87;s;y;w;u;w;t;p;;d;u
p;17.38;f;h;o;f;e;;w;17.53;18.mar;s;y;w;u;w;t;g;;d;u
p;13.maj;x;g;o;f;e;;w;17.87;17.76;s;y;w;u;w;t;g;;d;a
p;14.45;f;h;e;f;e;;w;17.43;17.44;s;y;w;u;w;t;p;;d;u
p;15.88;f;h;o;f;e;;w;17.73;19.16;s;y;w;u;w;t;p;;d;a
p;15.28;f;g;o;f;e;;w;17.97;17.87;s;y;w;u;w;t;g;;d;w
p;14.68;x;h;o;f;e;;w;16.19;16.kwi;s;y;w;u;w;t;g;;d;a
p;14.39;f;g;e;f;e;;w;16.99;16.sie;s;y;w;u;w;t;p;;d;u
p;16.16;f;g;o;f;e;;w;17.93;17.41;s;y;w;u;w;t;g;;d;a
p;15.47;f;h;e;f;e;;w;17.56;18.38;s;y;w;u;w;t;p;;d;u
p;14.maj;x;g;o;f;e;;w;16.85;17.lip;s;y;w;u;w;t;p;;d;w
p;15.lut;f;h;o;f;e;;w;16.62;16.cze;s;y;w;u;w;t;g;;d;u
p;17.17;x;g;o;f;e;;w;18.52;18.kwi;s;y;w;u;w;t;p;;d;u
p;15.sty;f;h;o;f;e;;w;17.62;17.39;s;y;w;u;w;t;p;;d;a
p;16.22;x;g;o;f;e;;w;18.56;18.15;s;y;w;u;w;t;p;;d;u
p;14.94;f;h;e;f;e;;w;16.cze;16.85;s;y;w;u;w;t;g;;d;u
p;13.22;f;g;o;f;e;;w;17.72;16.43;s;y;w;u;w;t;p;;d;w
p;13.66;x;h;o;f;e;;w;16.81;16.98;s;y;w;u;w;t;g;;d;u
p;18.31;f;h;o;f;e;;w;19.29;18.94;s;y;w;u;w;t;p;;d;u
p;lis.68;f;g;o;f;e;;w;17.31;16.62;s;y;w;u;w;t;g;;d;a
p;13.45;f;g;o;f;e;;w;15.84;16.16;s;y;w;u;w;t;g;;d;w
p;14.42;x;h;e;f;e;;w;17.mar;16.57;s;y;w;u;w;t;g;;d;w
p;15.cze;f;g;e;f;e;;w;18.cze;18.83;s;y;w;u;w;t;p;;d;u
p;paü.58;x;h;o;f;e;;w;16.33;15.53;s;y;w;u;w;t;g;;d;w
p;17.58;x;h;e;f;e;;w;19.35;19.66;s;y;w;u;w;t;g;;d;w
p;15.cze;x;h;o;f;e;;w;17.83;16.89;s;y;w;u;w;t;p;;d;w
p;16.68;x;h;e;f;e;;w;17.19;17.lis;s;y;w;u;w;t;p;;d;a
p;15.66;f;h;o;f;e;;w;18.24;18.33;s;y;w;u;w;t;p;;d;a
p;gru.18;f;h;o;f;e;;w;16.56;16.18;s;y;w;u;w;t;p;;d;a
p;15.71;f;g;e;f;e;;w;18.lut;17.98;s;y;w;u;w;t;g;;d;a
p;14.73;x;h;e;f;e;;w;16.95;17.14;s;y;w;u;w;t;g;;d;w
p;gru.42;f;h;e;f;e;;w;18.sty;17.71;s;y;w;u;w;t;p;;d;u
p;18.68;x;h;o;f;e;;w;18.63;19.wrz;s;y;w;u;w;t;p;;d;u
p;16.82;f;h;o;f;e;;w;17.78;18.mar;s;y;w;u;w;t;g;;d;a
p;15.35;f;h;e;f;e;;w;17.27;17.54;s;y;w;u;w;t;p;;d;w
p;14.34;f;h;o;f;e;;w;16.lut;15.99;s;y;w;u;w;t;p;;d;w
p;13.99;x;g;e;f;e;;w;15.42;15.85;s;y;w;u;w;t;g;;d;u
p;16.46;f;g;o;f;e;;w;17.29;16.wrz;s;y;w;u;w;t;p;;d;a
p;15.72;f;g;e;f;e;;w;17.88;16.98;s;y;w;u;w;t;p;;d;u
